Tag,UOM,Subsystem
signal-001,micra pp,subsystem-05
signal-002,micra pp,subsystem-05
signal-003,micra pp,subsystem-05
signal-004,micra pp,subsystem-05
signal-005,micra pp,subsystem-08
signal-006,micra pp,subsystem-08
signal-007,micra pp,subsystem-08
signal-008,micra pp,subsystem-08
signal-009,micra pp,subsystem-06
signal-010,micra pp,subsystem-06
signal-011,micra pp,subsystem-06
signal-012,micra pp,subsystem-06
signal-013,micra pp,subsystem-07
signal-014,micra pp,subsystem-07
signal-015,micra pp,subsystem-07
signal-016,micra pp,subsystem-09
signal-017,micra pp,subsystem-07
signal-018,micra pp,subsystem-04
signal-019,micra pp,subsystem-04
signal-020,micra pp,subsystem-03
signal-021,micra pp,subsystem-03
signal-022,micra pp,subsystem-02
signal-023,micra pp,subsystem-02
signal-024,micra pp,subsystem-02
signal-025,micra pp,subsystem-02
signal-026,micra pp,subsystem-01
signal-027,micra pp,subsystem-01
signal-028,micra pp,subsystem-01
signal-029,micra pp,subsystem-01
signal-030,micra pp,subsystem-04
signal-031,micra pp,subsystem-09
signal-032,micra pp,subsystem-09
signal-033,micra pp,subsystem-09
signal-034,mm,subsystem-04
signal-035,mm,subsystem-04
signal-036,mm,subsystem-03
signal-037,mm,subsystem-03
signal-038,mm,subsystem-02
signal-039,mm,subsystem-02
signal-040,mm,subsystem-01
signal-041,mm,subsystem-01
signal-042,Vdc,subsystem-11
signal-043,Vdc,subsystem-11
signal-044,Vdc,subsystem-09
signal-045,Vdc,subsystem-09
signal-046,Vdc,subsystem-05
signal-047,Vdc,subsystem-05
signal-048,Vdc,subsystem-08
signal-049,Vdc,subsystem-08
signal-050,Vdc,subsystem-06
signal-051,micra pp,subsystem-11
signal-052,micra pp,subsystem-11
signal-053,micra pp,subsystem-11
signal-054,micra pp,subsystem-11
signal-055,Vdc,subsystem-01
signal-056,Vdc,subsystem-01
signal-057,Vdc,subsystem-02
signal-058,Vdc,subsystem-03
signal-059,Vdc,subsystem-04
signal-060,Vdc,subsystem-04
signal-061,Vdc,subsystem-07
signal-062,Vdc,subsystem-07
signal-063,Vdc,subsystem-06
signal-064,Vdc,subsystem-02
signal-065,%,subsystem-12
signal-066,micra pp,subsystem-04
signal-067,C,subsystem-19
signal-068,C,subsystem-01
signal-069,C,subsystem-01
signal-070,C,subsystem-01
signal-071,rpm,subsystem-10
signal-072,rpm,subsystem-04
signal-073,rpm,subsystem-03
signal-074,rpm,subsystem-02
signal-075,rpm,subsystem-01
signal-076,mmH2O,subsystem-20
signal-077,kg/cm2,subsystem-05
signal-078,kg/cm2g,subsystem-08
signal-079,kg/cm2g,subsystem-04
signal-080,%,subsystem-13
signal-081,mm/s rms,subsystem-05
signal-082,mm/s rms,subsystem-07
signal-083,kg/cm2g,subsystem-24
signal-084,kg/cm2g,subsystem-21
signal-085,kNm3/d,subsystem-02
signal-086,mmH2O,subsystem-01
signal-087,mmH2O,subsystem-01
signal-088,C,subsystem-02
signal-089,,subsystem-15
signal-090,,subsystem-16
signal-091,%,subsystem-13
signal-092,MW,subsystem-01
signal-093,C,subsystem-02
signal-094,,subsystem-14
signal-095,C,subsystem-03
signal-096,C,subsystem-02
signal-097,C,subsystem-22
signal-098,C,subsystem-23
signal-099,C,subsystem-18
signal-100,C,subsystem-11
signal-101,C,subsystem-11
signal-102,C,subsystem-11
signal-103,C,subsystem-09
signal-104,C,subsystem-09
signal-105,C,subsystem-09
signal-106,C,subsystem-05
signal-107,C,subsystem-05
signal-108,C,subsystem-17
signal-109,C,subsystem-08
signal-110,C,subsystem-03
signal-111,C,subsystem-04
signal-112,C,subsystem-04
signal-113,C,subsystem-04
signal-114,C,subsystem-07
signal-115,C,subsystem-07
signal-116,C,subsystem-03
signal-117,C,subsystem-06
signal-118,C,subsystem-06
signal-119,C,subsystem-06
signal-120,C,subsystem-08
signal-121,C,subsystem-08
signal-122,C,subsystem-07
